x,y,z
-0.675178275,-0.557451008,1
-0.144518671,-0.571347669,2
-0.792419921,1.171234309,3
-0.30796153,2.503610717,4
-1.893614667,4.343782458,5
0.213293707,-1.762068984,6
0.001205475,0.483625339,7
-0.817088631,0.086873273,8
0.659245668,-0.235800283,9
0.937570138,-2.346264927,10
-1.607559864,3.12148354,11
-0.762724779,2.851246205,12
-0.76914235,0.251121131,13
-0.939903101,0.482688017,14
0.829474842,-2.24254901,15
-0.193826139,1.426031129,16
-0.264514841,-0.990316393,17
-2.003862364,1.175569131,18
0.63541803,-1.721994919,19
-1.239258395,3.03025759,20
0.05993263,1.080396489,21
0.277376938,-1.017915238,22
1.360658596,-3.132743799,23
-1.308820399,3.771541532,24
-3.019512156,4.169282612,25
0.183849545,-0.756219865,26
1.800511182,-3.410598473,27
1.238946353,-2.028673985,28
0.209659415,-0.929125524,29
-0.491636186,1.017713383,30
0.807122597,-4.102572547,31
-0.9735462,1.288843987,32
0.476357769,-0.499206826,33
0.505470159,-1.993234353,34
1.060209907,-2.061435593,35
2.759660039,-5.072447577,36
0.392415967,-1.127381135,37
-0.508963626,1.188391022,38
-0.025574312,-0.911583941,39
-1.769075905,3.33154053,40
-0.694713131,1.999642432,41
-0.409282438,0.975537837,42
-0.524088398,0.461645526,43
0.152354872,-0.08049334,44
-0.822419932,2.359449655,45
1.121030667,-4.292002613,46
0.000207065,1.158659935,47
-0.009300321,-0.317654096,48
-0.327894717,1.081279366,49
0.155190684,0.886865556,50
0.825098265,-3.021870227,51
-0.867130216,1.024819429,52
-0.658116489,1.027684282,53
-0.303726029,-0.176301464,54
-1.345870923,4.426678423,55
-0.81925786,0.781743626,56
-0.476220874,0.396894968,57
0.874389181,-1.54438933,58
0.262561329,-1.727272184,59
0.193589911,-0.782860534,60
0.850897962,-1.384342663,61
-0.137371788,-0.058116828,62
0.39046485,-0.874316559,63
-0.103221753,-0.322888607,64
0.265362349,-2.045195008,65
-0.582758658,1.487110527,66
-2.438817158,6.632567388,67
-0.134279162,0.286959955,68
1.422748136,-2.620232155,69
0.926215402,-1.159708049,70
0.965397485,-3.200125466,71
1.236130722,-0.769746785,72
0.088657591,0.025013614,73
0.197315707,1.237225484,74
-0.617651895,0.502270795,75
-0.316072856,2.450207635,76
0.61577115,-0.456386806,77
1.203884437,-1.854728788,78
-0.139446276,0.512917006,79
-0.450189265,0.651849912,80
0.000527959,1.199475741,81
0.601206749,-1.062053628,82
-1.443854816,0.920639929,83
-2.296180953,3.475175445,84
-0.550536849,0.915227947,85
-1.220712426,2.751423835,86
-0.508140198,0.959691906,87
-0.147780319,1.514531427,88
-0.453248409,-1.044605046,89
1.452467534,-2.761347132,90
0.326744765,-2.471468755,91
0.30047436,0.158763576,92
0.622207144,-1.338873003,93
-1.138833118,2.697276208,94
1.039111787,-2.942106535,95
-0.075764287,1.430993505,96
0.670480617,-0.29923657,97
-1.071857233,2.727258769,98
-1.553758766,2.978000285,99
0.817889658,-1.055922031,100
0.376409526,-1.45971162,101
-0.902051554,2.659658768,102
-0.869663081,3.388807057,103
1.125434784,-1.180259009,104
-1.189411893,1.649221316,105
1.642672953,-2.923928589,106
-0.900620735,0.508099926,107
0.638391926,-0.70439354,108
-0.328618476,1.107840364,109
0.603187431,-3.076191202,110
-0.544114002,-0.07355584,111
-0.162792906,0.042446915,112
0.040919175,-0.382698098,113
-1.002187456,0.794897976,114
0.740824345,-1.092669961,115
-0.513213566,1.277900742,116
-0.228599915,0.262930699,117
-0.994349375,1.232907249,118
-2.562333659,6.173374444,119
-0.191027763,2.037462638,120
2.412615422,-5.308792327,121
0.784604288,-2.181375493,122
-0.01926038,0.529728425,123
-0.262890829,0.167752279,124
0.022465893,-0.184328986,125
0.547119115,-0.354585079,126
-1.180812815,0.452269543,127
1.114321695,-0.910341064,128
0.715381315,-1.358082107,129
0.718185726,-1.847864596,130
0.438475739,-0.966185632,131
0.019616658,-0.07680396,132
0.672861236,-3.076923775,133
0.591814134,0.31130996,134
-0.354040711,0.749407054,135
-0.573601773,1.590205676,136
0.101856295,0.74783718,137
1.549020151,-4.119202761,138
-1.239107076,2.95168605,139
-1.467525266,2.667409441,140
0.164760841,0.517249093,141
0.050887702,-2.229002824,142
0.173341664,-0.445777629,143
0.243953198,-1.090727052,144
-0.223202255,0.87866746,145
1.489863439,-2.50968269,146
-1.600903978,2.494182062,147
-0.828497025,0.944820185,148
-0.10325476,0.095844152,149
-1.643188811,2.389735395,150
-0.175854404,1.193692504,151
1.661470166,-3.692147532,152
0.020886488,-2.948761196,153
0.230700906,-0.836223868,154
-1.260164765,1.48178571,155
-0.616361408,-0.398552999,156
-0.37519638,-0.487033878,157
-0.317715097,0.744838665,158
1.281643795,-1.234646762,159
0.557691061,-0.802197648,160
-1.111457957,1.616412526,161
0.246504778,-0.037105362,162
0.498221748,-1.455533807,163
1.140149039,-2.974898446,164
1.580540687,-4.315444041,165
-1.015094192,0.278359577,166
-0.810857511,1.231791316,167
-1.257577859,2.673209208,168
-0.234019859,0.371416048,169
0.466358374,-1.348683677,170
0.987334517,-2.920415094,171
-0.075951024,0.760148239,172
-0.319847523,-0.677436873,173
0.151757992,0.472511929,174
-0.835142902,0.668068784,175
2.089538722,-4.931512681,176
-1.607661027,1.748536864,177
0.184740579,-0.870883305,178
2.023606219,-3.07189998,179
0.006799845,0.502028399,180
-0.190039035,1.358500182,181
-0.357445423,1.237033392,182
-0.180391682,-0.742886465,183
1.372848475,-3.076486174,184
-2.211861911,3.643524694,185
1.533433701,-1.736292499,186
-1.423957152,1.651125658,187
-0.266652329,1.427002348,188
-0.42924442,1.751442711,189
0.58855327,0.652513662,190
-1.598124352,2.786562111,191
0.462172666,-0.212023173,192
2.024309623,-1.76696741,193
-1.363174005,2.108706332,194
0.189706168,-1.914452583,195
-0.661982178,-0.556045678,196
0.425887206,-0.139062384,197
0.019147777,-1.921445763,198
-0.641486909,0.910654765,199
0.487872285,-0.538431383,200
1.80434811,-3.423520683,201
-0.190903792,0.807252448,202
0.719757942,-1.217226028,203
-1.293272958,3.865411729,204
-0.956436377,0.960556373,205
0.472406278,-1.621807694,206
1.484116029,-3.740891502,207
0.355613349,0.118965114,208
-0.313058031,1.526514649,209
-0.000708595,0.452642508,210
-1.250407734,3.684309135,211
0.604515326,-2.38707152,212
0.882333062,-0.097442013,213
-0.452090333,2.427419287,214
-0.470042148,1.675706293,215
0.26587823,1.250042449,216
-0.436719736,-0.783183736,217
-0.066132615,-0.392182907,218
2.099721789,-4.934747039,219
-0.247025701,1.215530725,220
-0.358340152,-0.333460436,221
-0.647541806,2.052578761,222
0.744191971,-0.117847799,223
-0.181224173,1.057651247,224
-0.649373038,1.5824971,225
1.321304032,-3.630481405,226
1.419603005,-3.686056975,227
-0.600423566,2.450466037,228
-1.866539951,4.512428907,229
